Date,SKU,Current Inventory,Average Daily Sales,Days Until Stockout,Estimated Stockout Date,Alert
2024-03-07,SKU001,435,-54.9,,,NO ALERT
2024-03-08,SKU001,423,20.37,20.0,2024-03-28,OK
2024-03-09,SKU001,410,13.61,30.0,2024-04-08,OK
2024-03-10,SKU001,402,12.84,31.0,2024-04-10,OK
2024-03-11,SKU001,395,7.8,50.0,2024-04-30,OK
2024-03-12,SKU001,385,8.4,45.0,2024-04-26,OK
2024-03-13,SKU001,376,8.48,44.0,2024-04-26,OK
2024-03-14,SKU001,365,9.45,38.0,2024-04-21,OK
2024-03-15,SKU001,330,24.46,13.0,2024-03-28,WARNING: Stockout within two weeks
2024-03-16,SKU001,290,30.88,9.0,2024-03-25,WARNING: Stockout within two weeks
2024-03-17,SKU001,245,38.54,6.0,2024-03-23,URGENT: Stockout within a week!
2024-03-18,SKU001,237,33.45,7.0,2024-03-25,URGENT: Stockout within a week!
2024-03-19,SKU001,230,30.11,7.0,2024-03-26,URGENT: Stockout within a week!
2024-03-20,SKU001,220,28.4,7.0,2024-03-27,URGENT: Stockout within a week!
2024-03-21,SKU001,211,26.66,7.0,2024-03-28,URGENT: Stockout within a week!
2024-03-22,SKU001,200,22.28,8.0,2024-03-30,WARNING: Stockout within two weeks
2024-03-23,SKU001,190,18.26,10.0,2024-04-02,WARNING: Stockout within two weeks
2024-03-24,SKU001,178,16.08,11.0,2024-04-04,WARNING: Stockout within two weeks
2024-03-25,SKU001,165,16.54,9.0,2024-04-03,WARNING: Stockout within two weeks
2024-03-26,SKU001,157,15.99,9.0,2024-04-04,WARNING: Stockout within two weeks
2024-03-27,SKU001,150,15.58,9.0,2024-04-05,WARNING: Stockout within two weeks
2024-03-28,SKU001,140,15.65,8.0,2024-04-05,WARNING: Stockout within two weeks
2024-03-29,SKU001,131,14.5,9.0,2024-04-07,WARNING: Stockout within two weeks
2024-03-30,SKU001,120,13.42,8.0,2024-04-07,WARNING: Stockout within two weeks
